video_id,view_count,like_count,dislike_count,comment_count
-7bJIMVPXSc,78,5,0,0
mD9t04_-JpY,5821,594,0,114
UMYq9_UVnnQ,81,1,0,0
V5LUJLAVQR4,6201,200,0,17
ajM2sAN6kBI,77,3,0,2
DdcAXIUtBk8,206,32,0,5
qdVPUhtAwvU,3106,222,0,25
BjVx10tgcJQ,202,31,0,17
31Fgcbpt02U,24391,1209,0,162
31Fgcbpt02U,24391,1209,0,162
1l5MgooYJh8,790443,10584,0,1438
oL95-ZiPlh8,2220,119,0,21
bdgHCXoZ4eo,6,0,0,0
z-Q1dP4q-qg,6,0,0,0
HW9L85JFkeg,23,0,0,0
1FqBpmw4UaE,1776282,18091,0,1965
qJH3Re3np-k,293,26,0,11
tcZzPdk0-d0,30443,1695,0,111
WLC5G86Ggww,9665,341,0,55
OviZlOHNCVI,811611,10234,0,2027
tOhKaLcJg3I,2567,68,0,18
EPJfpEpY5Kw,684481,31723,0,2548
FqhEyF9x7GE,2359695,114946,0,13015
dMp_AHsT4yM,23991,431,0,14
QZURYzdjwFQ,1275375,22570,0,6898
JhcHjp7l0rU,3294,94,0,7
klTipaKEi6E,5437,183,0,14
H18X6JIVkPk,2345549,43415,0,4000
UwNDg30IVi8,296136,4743,0,484
oAyvMXO9xtw,118270,3988,0,225
6EZF5cHr6P8,79302,1427,0,19
26uYl1xe-Wk,14544,326,0,53
Ez3DMXlmNLY,75317,2958,0,325
L7qPIq2527s,33857,662,0,220
ARbdXh2JjSA,65891,212,0,3
h-xokwiN3pc,13730,317,0,8
2YffaJB9QBE,6277,37,0,34
EbWH_XxVWE0,128,10,0,0
OjG8ME7nD4U,8,0,0,0
bBbTooBwQiE,7,0,0,0
_U4lGa7gYWs,5657,167,0,9
QP0arOlV95E,21327,1133,0,104
jmiQ7nLmHc0,12444,933,0,237
-c-BqxKBJdA,11345,685,0,48
Ruv-1YRw3_o,13679,1193,0,71
jNLE0934SOg,3539,339,0,24
mNjt8Tv65eQ,1890,244,0,5
4jaSL9DYoho,8712,144,0,56
A1J5X69AqZk,128,2,0,0
N0DJu59qjqg,38373,1630,0,199
mH0ODGZ9D6k,800577,13241,0,438
Fzjq0xBQ7r0,0,0,0,0
4ZCahlC0cYQ,51564,3074,0,189
1mhsa7qji-w,2665,83,0,12
O4YAmsQMA4o,17765,293,0,29
gCeSwxEZIbg,3525,28,0,1
3P-xKFIsSw8,12732895,55331,0,320
